Employee_ID,Age,Industry,Job_Role,Experience_Years,Company_Size,Remote_Work_Type,AI_Tools_Used,Daily_AI_Usage_Hours,Primary_AI_Tool,Tasks_Automated_Percent,Time_Saved_Per_Day_Minutes,Learning_Time_Per_Week_Hours,Meetings_Per_Day,Work_Hours_Per_Day,Job_Satisfaction,Productivity_Change,Salary_USD,Promotion_Last_Year,Fear_of_AI_Replacing_Job,Target
1,50,Tech,Consultant,14,Large,Onsite,2,3.9,Midjourney,20,102,2.7,6,4.3,High,Decreased,73423,No,Low,Low
2,45,Finance,Data Scientist,2,Large,Remote,4,4.8,Grok,29,37,0.0,3,5.1,Low,Same,60769,No,Low,Low
3,43,Marketing,Consultant,11,Small,Onsite,0,1.5,Midjourney,58,169,0.3,3,6.2,High,Increased,47189,No,Medium,Low
4,24,Retail,Software Developer,0,Medium,Remote,2,3.4,Gemini,72,166,0.1,0,9.8,Low,Same,39433,Yes,Low,High
5,30,Education,Consultant,4,Large,Onsite,1,3.4,Copilot,59,171,3.0,6,5.0,High,Decreased,39152,No,High,High
6,25,Education,Designer,1,MNC,Remote,1,2.8,Claude,62,145,4.7,1,6.4,Low,Increased,30995,No,High,Low
7,35,Marketing,Software Developer,7,Large,Remote,3,0.2,ChatGPT,39,81,3.2,7,6.1,High,Same,54331,Yes,High,Low
8,50,Tech,Data Scientist,14,Large,Remote,4,0.4,ChatGPT,70,8,4.6,3,5.8,Low,Decreased,80422,Yes,Low,Low
9,32,Finance,Software Developer,2,Medium,Onsite,0,3.6,Copilot,34,32,3.6,1,6.2,Medium,Decreased,35184,No,Medium,Low
10,49,Education,Data Analyst,6,Small,Hybrid,0,3.1,Claude,33,32,0.4,6,8.0,Medium,Increased,56115,No,Low,Low
11,43,Marketing,Software Developer,2,Large,Remote,0,1.9,ChatGPT,46,130,4.6,1,5.4,High,Decreased,41685,No,Low,Low
12,48,Marketing,Designer,8,Small,Onsite,1,0.1,Midjourney,76,178,0.2,6,6.9,Low,Increased,56383,No,Low,Low
13,25,Finance,Data Analyst,1,Small,Onsite,4,1.2,Claude,14,170,1.2,4,4.5,High,Increased,48914,No,Medium,Low
14,43,Marketing,HR,1,Small,Hybrid,1,4.0,ChatGPT,56,133,2.7,3,5.1,Medium,Same,46157,No,High,High
15,32,Tech,Data Scientist,9,Large,Hybrid,3,1.8,Copilot,61,128,1.4,5,4.0,Medium,Same,61474,Yes,Low,Low
16,27,Marketing,Designer,2,Medium,Remote,0,2.4,Midjourney,50,171,1.5,2,5.9,Low,Decreased,46879,No,High,Low
17,33,Healthcare,Consultant,6,Large,Onsite,1,3.6,Grok,55,80,1.6,1,7.0,Medium,Same,53877,No,Medium,Low
18,44,Education,HR,4,Small,Hybrid,0,3.2,Midjourney,1,52,2.9,7,7.3,Medium,Increased,37931,No,High,Low
19,32,Retail,Software Engineer,7,Large,Hybrid,2,1.2,Grok,37,23,2.8,1,7.8,High,Decreased,46930,Yes,Medium,Low
20,37,Marketing,Software Engineer,0,Small,Hybrid,0,1.6,ChatGPT,69,92,5.2,3,8.1,High,Decreased,31546,No,Low,Low
21,47,Marketing,Data Scientist,2,Small,Onsite,2,1.7,Midjourney,70,51,5.6,7,6.3,Low,Increased,37385,Yes,Medium,Low
22,22,Marketing,Software Engineer,0,Small,Remote,2,1.7,Copilot,49,150,3.2,1,5.5,Medium,Increased,45075,Yes,Low,Low
23,37,Tech,Data Scientist,9,Medium,Hybrid,0,2.6,Midjourney,1,128,0.6,3,7.3,High,Increased,50158,No,Low,Low
24,30,Marketing,Software Engineer,8,Medium,Onsite,2,3.5,Gemini,79,130,5.1,5,8.7,High,Same,59183,Yes,Medium,High
25,32,Finance,Software Engineer,0,MNC,Onsite,3,4.5,Claude,24,92,1.7,5,7.3,Low,Decreased,36869,No,Low,Low
26,37,Healthcare,Software Developer,12,Small,Remote,0,0.9,ChatGPT,67,32,3.0,7,8.5,Medium,Increased,62446,No,High,Low
